Hydr_id        ,Address                                 ,Descript                                          ,CapColor
000003,"E Plaza & N Plaza /NE corner, NE of foun",Green (1000-1500 gpm)                             ,Green
000005,"E Plaza & N Plaza /NE corner, NE of foun",Green (1000-1500 gpm)                             ,Green
000007,"S Plaza & W Plaza /SW corner, SW of foun",Orange (500-1000 gpm)                             ,Orange
000009,"S Plaza & W Plaza /SW corner, SW of foun",Green (1000-1500 gpm)                             ,Green
100004,N Main ST & Lamar AVE                   ,Green (1000-1500 gpm)                             ,Green
100008,SE 1st ST & Lamar AVE                   ,Orange (500-1000 gpm)                             ,Orange
100012,SE 1st ST & Clarksville ST              ,Orange (500-1000 gpm)                             ,Orange
100013,S Main ST & E Kaufman ST                ,Green (1000-1500 gpm)                             ,Green
101002,S Church ST & Lamar AVE                 ,Orange (500-1000 gpm)                             ,Orange
101012,S Church ST & Clarksville ST            ,Orange (500-1000 gpm)                             ,Orange
101016,S Church ST & E Kaufman ST              ,Orange (500-1000 gpm)                             ,Orange
101034,300 S Church ST                         ,Red (400-500 gpm)                                 ,Red
101054,S Church ST & E Sherman ST              ,Green (1000-1500 gpm)                             ,Green
101064,S Church ST & E Brame ST                ,Red (400-500 gpm)                                 ,Red
101108,S Church ST & E Long AVE                ,Unknown                                           ,Unknown
101123,S Church ST & E Hearne ST /NW Corner    ,Unknown                                           ,Unknown
101124,1200 S Church ST                        ,Orange (500-1000 gpm)                             ,Orange
101184,S Church ST & Evergreen ST              ,Green (1000-1500 gpm)                             ,Green
101194,1900 S Church ST                        ,Green (1000-1500 gpm)                             ,Green
101214,2150 S Church ST                        ,Green (1000-1500 gpm)                             ,Green
101224,2250 S Church ST                        ,Green (1000-1500 gpm)                             ,Green
101234,2350 S Church ST                        ,Green (1000-1500 gpm)                             ,Green
101244,2450 S Church ST                        ,Green (1000-1500 gpm)                             ,Green
101246,2460 S Church ST                        ,Green (1000-1500 gpm)                             ,Green
101254,2500 S Church ST                        ,Green (1000-1500 gpm)                             ,Green
102018,SE 3rd ST & Clarksville ST              ,Green (1000-1500 gpm)                             ,Green
102082,SE 3rd ST & E Washington ST             ,Orange (500-1000 gpm)                             ,Orange
102143,S Church ST & Sycamore ST               ,Orange (500-1000 gpm)                             ,Orange
102153,1500 S Church ST                        ,Black (0 - 375 gpm)                               ,Black
102163,S Church ST & E Neagle AVE              ,Orange (500-1000 gpm)                             ,Orange
102173,S Church ST & E Neagle AVE              ,Green (1000-1500 gpm)                             ,Green
102285,S Church ST & SE Loop 286               ,Orange (500-1000 gpm)                             ,Orange
103012,SE 3rd ST & Clarksville ST              ,Green (1000-1500 gpm)                             ,Green
103019,SE 3rd ST & E Kaufman ST                ,Green (1000-1500 gpm)                             ,Green
103031,SE 3rd ST & E Austin ST                 ,Green (1000-1500 gpm)                             ,Green
103049,SE 3rd ST & E Sherman ST                ,Green (1000-1500 gpm)                             ,Green
103095,957 SE 3rd ST /Across from 958 SE 3rd   ,Orange (500-1000 gpm)                             ,Orange
103117,SE 3rd ST & E Jackson ST /jackson       ,Orange (500-1000 gpm)                             ,Orange
103164,SE 3rd ST & Paris BLVD                  ,Green (1000-1500 gpm)                             ,Green
103171,SE 3rd ST & E Neagle AVE /Neagle        ,Green (1000-1500 gpm)                             ,Green
103221,2300 SE 3rd ST                          ,Green (1000-1500 gpm)                             ,Green
103239,SE 3rd ST & York ST                     ,Green (1000-1500 gpm)                             ,Green
103271,SE 3rd ST & SE Loop 286                 ,Green (1000-1500 gpm)                             ,Green
103281,SE 3rd ST & SE Loop 286                 ,Green (1000-1500 gpm)                             ,Green
104002,400 Lamar AVE                           ,Black (0 - 375 gpm)                               ,Black
104011,400 E Kaufman ST                        ,Green (1000-1500 gpm)                             ,Green
104012,400 Clarksville ST                      ,Orange (500-1000 gpm)                             ,Orange
104023,400 E Austin ST /north side             ,Green (1000-1500 gpm)                             ,Green
104058,SE 5th ST & E Sherman ST                ,Orange (500-1000 gpm)                             ,Orange
104078,SE 5th ST & Hearon ST                   ,Orange (500-1000 gpm)                             ,Orange
104088,SE 5th ST & E Washington ST             ,Orange (500-1000 gpm)                             ,Orange
104096,SE 5th ST & Cedar ST                    ,Orange (500-1000 gpm)                             ,Orange
104128,SE 5th ST & E Jackson ST                ,Orange (500-1000 gpm)                             ,Orange
104178,SE 5th ST & E Neagle AVE                ,Green (1000-1500 gpm)                             ,Green
104273,400 SE Loop 286 /north side             ,Orange (500-1000 gpm)                             ,Orange
105002,SE 6th ST & Lamar AVE                   ,Green (1000-1500 gpm)                             ,Green
105014,SE 6th ST & Clarksville ST              ,Green (1000-1500 gpm)                             ,Green
105032,SE 6th ST & E Austin ST                 ,Green (1000-1500 gpm)                             ,Green
105092,SE 5th ST & E Polk ST                   ,Orange (500-1000 gpm)                             ,Orange
105103,504 Cedar ST /SE Corner SE5th and Cedas ,Unknown                                           ,Unknown
105164,500 Paris BLVD /south side              ,Green (1000-1500 gpm)                             ,Green
105244,540 YORK ST                             ,Orange (500-1000 gpm)                             ,Orange
106059,SE 6th ST & E Sherman ST                ,Orange (500-1000 gpm)                             ,Orange
106081,SE 6th ST & E Polk ST                   ,Orange (500-1000 gpm)                             ,Orange
106087,600 Cedar ST /NE Corner 6th and Cedar   ,Unknown                                           ,Unknown
106089,SE 6th ST & Cedar ST                    ,Black (0 - 375 gpm)                               ,Black
106131,1300 SE 6th ST                          ,Black (0 - 375 gpm)                               ,Black
106182,SE 6th ST & Evergreen ST                ,Orange (500-1000 gpm)                             ,Orange
107002,SE 8th ST & Lamar AVE                   ,Black (0 - 375 gpm)                               ,Black
107012,SE 8th ST & Clarksville ST              ,Orange (500-1000 gpm)                             ,Orange
107022,SE 6th ST & E Jackson ST                ,Orange (500-1000 gpm)                             ,Orange
107048,SE 8th ST & E Sherman ST                ,Green (1000-1500 gpm)                             ,Green
107056,700 E Sherman ST /Legend Health Care    ,Green (1000-1500 gpm)                             ,Green
107072,SE 8th ST & Hearon ST                   ,Black (0 - 375 gpm)                               ,Black
107075,790 Jefferson RD /South Baptist Church  ,Orange (500-1000 gpm)                             ,Orange
107084,SE 8th ST & E Washington ST             ,Black (0 - 375 gpm)                               ,Black
107102,700 Cedar ST /SW Corner of 8th and cedar,Unknown                                           ,Unknown
107118,SE 8th ST & E Jackson ST                ,Orange (500-1000 gpm)                             ,Orange
107134,1300 SE 8th ST /(TRACKS)                ,Black (0 - 375 gpm)                               ,Black
107152,SE 8th ST & Sycamore ST                 ,Black (0 - 375 gpm)                               ,Black
107166,SE 8th ST & Old Jefferson RD            ,Orange (500-1000 gpm)                             ,Orange
108033,SE 8th ST & E Austin ST                 ,Green (1000-1500 gpm)                             ,Green
108087,SE 8th ST & E Polk ST                   ,Orange (500-1000 gpm)                             ,Orange
108101,SE 8th ST & Cedar ST                    ,Black (0 - 375 gpm)                               ,Black
108175,800 New Jefferson RD                    ,Orange (500-1000 gpm)                             ,Orange
109003,SE 10th ST & Clarksville ST             ,Green (1000-1500 gpm)                             ,Green
109033,SE 9th ST & Woodlawn AVE                ,Green (1000-1500 gpm)                             ,Green
109034,SE 10th ST & E Austin ST                ,Green (1000-1500 gpm)                             ,Green
109054,500 SE 10th ST /(West side of Rd.)      ,Green (1000-1500 gpm)                             ,Green
109055,525 SE 9th ST /east side of street      ,Green (1000-1500 gpm)                             ,Green
109063,SE 9th ST & Hearon ST                   ,Green (1000-1500 gpm)                             ,Green
109066,SE 10th ST & Hearon ST /N.W. corner     ,Green (1000-1500 gpm)                             ,Green
109090,SE 10th ST & E Polk ST                  ,Orange (500-1000 gpm)                             ,Orange
109118,SE 10th ST & Jackson CT                 ,Orange (500-1000 gpm)                             ,Orange
109275,900 SE Loop 286 /900 Blk SE Loop 286 (NS,Orange (500-1000 gpm)                             ,Orange
110012,SE 10th ST & Clarksville ST             ,Black (0 - 375 gpm)                               ,Black
110043,SE 10th ST & Woodlawn AVE               ,Orange (500-1000 gpm)                             ,Orange
110161,1000 Jefferson RD /1000 BLK. Old Jeffers,Orange (500-1000 gpm)                             ,Orange
110275,1000 SE Loop 286 /1000 BLK. SE Loop (N.S,Orange (500-1000 gpm)                             ,Orange
111012,SE 12th ST & Clarksville ST             ,Green (1000-1500 gpm)                             ,Green
111032,SE 12th ST & E Austin ST                ,Green (1000-1500 gpm)                             ,Green
111048,SE 12th ST & E Sherman ST               ,Green (1000-1500 gpm)                             ,Green
111078,SE 12th ST & Hearon ST                  ,Green (1000-1500 gpm)                             ,Green
111088,SE 12th ST & E Washington ST            ,Green (1000-1500 gpm)                             ,Green
111102,SE 12th ST & E Polk ST                  ,Green (1000-1500 gpm)                             ,Green
111108,SE 12th ST & Cedar ST                   ,Green (1000-1500 gpm)                             ,Green
111122,SE 12th ST & E Jackson ST               ,Green (1000-1500 gpm)                             ,Green
111275,1100 SE Loop 286 /North side            ,Orange (500-1000 gpm)                             ,Orange
112004,SE 13th ST & Lamar AVE                  ,Black (0 - 375 gpm)                               ,Black
112082,SE 13th ST & E Washington ST            ,Green (1000-1500 gpm)                             ,Green
112112,SE 13th ST & Cedar ST                   ,Red (400-500 gpm)                                 ,Red
112118,SE 13th ST & E Jackson ST               ,Red (400-500 gpm)                                 ,Red
112275,1200 SE Loop 286 /1200 blK SE Loop (N.S.,Orange (500-1000 gpm)                             ,Orange
113017,SE 13th ST & Margaret ST                ,Orange (500-1000 gpm)                             ,Orange
113051,SE 13th ST & E Sherman ST               ,Orange (500-1000 gpm)                             ,Orange
113067,SE 13th ST & Neathery ST                ,Orange (500-1000 gpm)                             ,Orange
113275,1300 SE Loop 286 /Bethel Temple Church  ,Orange (500-1000 gpm)                             ,Orange
114004,1442 Lamar AVE                          ,Green (1000-1500 gpm)                             ,Green
114015,1400 Margaret ST                        ,Green (1000-1500 gpm)                             ,Green
114042,SE 14th ST & Clarksville ST             ,Orange (500-1000 gpm)                             ,Orange
114047,SE 14th ST & E Sherman ST               ,Orange (500-1000 gpm)                             ,Orange
114095,1400 E Polk ST                          ,Green (1000-1500 gpm)                             ,Green
114121,SE 14th ST & E Jackson ST               ,Orange (500-1000 gpm)                             ,Orange
114125,1200 SE 14th ST /In front of 1265       ,Red (400-500 gpm)                                 ,Red
115018,SE 16th ST & Margaret ST                ,Green (1000-1500 gpm)                             ,Green
115057,SE 15th ST & E Brame ST                 ,Green (1000-1500 gpm)                             ,Green
115085,SE 15th ST & E Washington ST            ,Orange (500-1000 gpm)                             ,Orange
115107,SE 15th ST & Cedar ST                   ,Red (400-500 gpm)                                 ,Red
115122,SE 16th ST & E Jackson ST               ,Green (1000-1500 gpm)                             ,Green
116035,SE 16th ST /341                         ,Black (0 - 375 gpm)                               ,Black
116095,SE 16th ST & E Polk ST                  ,Green (1000-1500 gpm)                             ,Green
116118,SE 17th ST & E Jackson ST               ,Green (1000-1500 gpm)                             ,Green
116175,1600 Jefferson RD                       ,Green (1000-1500 gpm)                             ,Green
117004,SE 17th ST & Lamar AVE                  ,Green (1000-1500 gpm)                             ,Green
